Comment	Description	Designator	Kolicina na ploci	Manufacturer Part Number	Datasheet	Cena [USD]
Header male	CONN HEADER VERT 1POS	B3V3, B5V, CQ1, CQ2, CQ4, GND, LEG?, PWMHI?, PWMLO?, Um1, Um2, Um3, Um4, Um5, Um6	27	NRPN011PAEN-RC	https://drawings-pdf.s3.amazonaws.com/10531.pdf?src-supplier=Digi-Key	
NOVI BUCK	XP POWER - ISE0503A - DC/DC-WANDLER, 3.3V, 0.303A	B?	1	ISE0503A	http://www.farnell.com/datasheets/2334158.pdf?src-supplier=Farnell	
C1-DC link	CAPACITOR ALUMINUM ORGANIC 100UF, 8V, 20%, SMD; Product Range:A700 Series; Capacitance:100 F; AE Capacitor Case:2917 [7343 Metric]; ESR:0.01ohm; Voltage Rating:8V; Lifetime @ Temperature:2000 hours @ 125 C; Packaging:Cut Tape ;RoHS Compliant: Yes	C?	4	A700X107M008ATE010	https://datasheet.ciiva.com/5714/1491343-5714048.pdf?src-supplier=Farnell	
C4 na Vout iz LDO	CAP CER 1UF 6.3V X5R 0402	C?	3	CL05A105JQ5NNNC	https://datasheet.ciiva.com/25717/cl05a105jq5nnnc-25717825.pdf?src-supplier=Digi-Key	
C11, C20, C26, C28, C29, C30, C31, C32, C33, C34, C41, C49, C50, C51, C53, C57, C58, C61-procesro	CAP CER 0.1UF 16V X7R 0603	C?	8	CC0603KRX7R7BB104	https://datasheet.ciiva.com/11786/0900766b80d84f1d-11786077.pdf?src-supplier=RSComponents	
C19, C27, C60-procesor	CAP CER 1UF 16V X5R 0603	C?	1	CGA3E1X5R1C105K080AC	http://product.tdk.com/en/catalog/datasheets/mlcc_automotive_general_en.pdf?src-supplier=Avnet	
C36,C35-procesor	YAGEO - CC0603CRNPO9BN2R7 - CAP, 2.7PF, 50V, C0G/NP0, 0603	C?	2	CC0603CRNPO9BN2R7	https://datasheet.ciiva.com/11786/0900766b8079c870-11786434.pdf?src-supplier=RSComponents	
C39,C55-procesor	CAP CER 1000PF 50V X7R 0603	C?	1	CC0603KRX7R9BB102	https://datasheet.ciiva.com/144/mlccorderingcode-144415.pdf?src-supplier=Digi-Key	
C54, C52-procesor	MURATA - GRM188R61C475KAAJD - CAP, 4.7µF, 16V, 10%, X5R, 0603	C?	1	GRM188R61C475KAAJD	https://datasheet.ciiva.com/14813/595grm188r61c475kaaj23-14813668.pdf?src-supplier=Arrow	
C0603C472K5RACTU	Capacitor: ceramic; MLCC; 4.7nF; 50VDC; X7R; ±10%; SMD; 0603	C?	24	C0603C472K5RACTU	https://datasheet.ciiva.com/7823/40889-7823799.pdf?src-supplier=Element14	
C1608X7R1H474K080AC	TDK - C1608X7R1H474K080AC - SMD Multilayer Ceramic Capacitor, 0.47 µF, 50 V, 0603 [1608 Metric], ± 10%, X7R, C Series TDK	C?	1	C1608X7R1H474K080AC	https://datasheet.ciiva.com/28693/1735394-28693461.pdf?src-supplier=Element14	
C NA BATERIJI	KEMET         A700D476M12RATE025             POLYMER ALUMINUM ELECTORLYTIC CAPACITOR, 47UF, 12V, 20%, SMD	C?	1	A700D476M12RATE025	https://datasheet.ciiva.com/22648/1733031-22648964.pdf?src-supplier=Element14	
C na DC keramicki	CAP CER 10UF 10V X5R 0402	C?	5	CL05A106MP8NUB8	http://www.samsungsem.com/kr/support/product-search/mlcc/CL05A106MP8NUB8.jsp?src-supplier=Digi-Key	
C na PV	CAP CER 22UF 35V X5R 0805	C?	2	C2012X5R1V226M125AC	https://datasheet.ciiva.com/14893/tdkmlcccaprange-14893109.pdf?src-supplier=Digi-Key	
C UZ VIN NA BUCK 5/3V3	Cap Ceramic 4.7uF 50V X5R 10% SMD 0805 85C Embossed T/R	C?	1	CL21A475KBQNNNE	https://datasheet.ciiva.com/25797/cl21a475kbqnnne-25797730.pdf?src-supplier=Digi-Key	
C UZ VOUT NA BUCK 5/3V3	CAP CER 10UF 50V X5R 1210	C?	1	CL32A106KBJNNNE	https://datasheet.ciiva.com/25711/cl32a106kbjnnne-25711770.pdf?src-supplier=Digi-Key	
CBOOT NOVI	CAP CER 0.22UF 50V Y5V 0603	C?	5	CC0603ZRY5V9BB224	https://datasheet.ciiva.com/11465/upy-gphc-y5v-6-3v-to-50v-5-11465205.pdf?src-supplier=Avnet	
DRIVER-HI/GND I LI/GND	KEMET - C0402C102K9RACTU - CAP, 1000PF, 6.3V, 10%, X7R, 0402	C?	10	C0402C102K9RACTU	http://www.farnell.com/datasheets/2746033.pdf?src-supplier=Farnell	
DRIVER-VDD/GND	MURATA - GCM188L81H104KA57D - CAP, MLCC, AEC-Q200, X8L, 0.1UF, 0603, CAP CER 1UF 35V X6S 0603	C?	15	GCM188L81H104KA57D, GRT188C8YA105KE13D	https://datasheet.ciiva.com/6277/s0717e-6277799.pdf?src-supplier=Digi-Key, http://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRT188C8YA105KE13-01.pdf?src-supplier=Digi-Key	
GRM21BR61A476ME15L	MURATA - GRM21BR61A476ME15L - SMD Multilayer Ceramic Capacitor, 47 µF, 10 V, 0805 [2012 Metric], ± 20%, X5R, GRM Series - SMD Multilayer Ceramic Capacitor, 47 µF, 10 V, 0805 [2012 Metric], ± 20%, X5R, GRM Series	C?	2	GRM21BR61A476ME15L	http://www.farnell.com/datasheets/2079183.pdf?src-supplier=Farnell	
TAJA105K016RNJ	CAP TANT 1UF 16V 10% 1206	C?	2	TAJA105K016RNJ	https://datasheet.ciiva.com/263/taj-263409.pdf?src-supplier=Digi-Key	
Umesto 0201	CERAMIC CAPACITOR, 0.1UF, 10V, X5R, 20%, 0402; Product Range:C Series; Capacitance:0.1 F; Capacitance Tolerance: 20%; Dielectric Characteristic:X5R; Voltage Rating:10V; Ceramic Capacitor Case:0402 [1005 Metric]; Packaging:Cut Tape ;RoHS Compliant: Yes	C?	3	C0402C104M8PACTU	https://datasheet.ciiva.com/5416/kem-c1006-x5r-smd-5416719.pdf?src-supplier=Mouser	
VOUT LDO	MURATA - GRM21BR61A226ME51L - CAP, MLCC, X5R, 22UF, 10V, 0805	C?	1	GRM21BR61A226ME51L	http://components.arrow.com/part/dataview/0323_06961245?src-supplier=Arrow+Europe	
DRIVER	MICROCHIP         MCP14700-E/MF             MOSFET Driver IC, High Side And Low Side, 4.5V-5.5V Supply, 3.5A Out, 27ns Delay, DFN-8	D?	5	MCP14700-E/MF	https://datasheet.ciiva.com/4897/22201a-53003-4897794.pdf?src-supplier=Mouser	
NOVE DIODE	DIODE SCHOTTKY 50V 500MA TUMD2M	D?	4	RB400VAM-50TR	http://www.farnell.com/datasheets/2644365.pdf?src-supplier=Farnell	
Headeri		DClink?, J?	6			
Header za procesor	PH Series 6 Position Through Hole Single Row Straight .100 Header	H?	1	PH1-06-UA	http://www.adam-tech.com/catalog/2012/page_312-315.pdf?src-supplier=Future+Electronics	
L1,L2,L5,L6-buck-input	FIXED IND 11.3UH 11A 9.1 MOHM	L?	2	7443551111	https://datasheet.ciiva.com/4954/7443551111-85808-4954839.pdf?src-supplier=Mouser	
L3,L4-buck-output	FIXED IND 4.7UH 13.5A 5.4 MOHM	L?	3	74439369047	http://www.farnell.com/datasheets/2157318.pdf?src-supplier=Farnell	
L buck 5/3v3	6.8µH Shielded Molded Inductor 1.6A 193 mOhm Max 2-SMD	L?	1	74438336068	http://www.farnell.com/datasheets/1850894.pdf?src-supplier=Farnell	
L NA BATERIJI		L?	1	SPM4030T-R60M	https://product.tdk.com/info/en/catalog/datasheets/inductor_commercial_power_spm4030_en.pdf	
NOVI LDO	IC REG LINEAR POS ADJ 1A 8WSON	LDO?	1	LM2941LD/NOPB	https://datasheet.ciiva.com/1642/36861-1642449.pdf?src-supplier=Newark	
LTC6079CDHC#PBF	IC OPAMP GP 750KHZ RRO 16DFN	OP AMP?	3	LTC6079CDHC#PBF	https://datasheet.ciiva.com/1794/9198-1794801.pdf?src-supplier=Digi-Key	
MOSFET-IZLAZNI BUCK+BATERIJA	Optimized for high performance Buck converter (Server,VGA)Very Low FOMQOSS for High Frequency SMPSLow FOMSW for High Frequency SMPSExcellent gate charge x R DS(on) product (FOM)Very low on-resistance R DS(on) @ V GS=4.5 V100% avalanche testedSuperior thermal resistanceN-channelQualified according to JEDEC for target applicationsPb-free lead plating; RoHS compliantHalogen-free according to IEC61249-2-21Package : PG-TSDSON-8 (fused leads)	Q?	6	BSZ060NE2LSATMA1	https://datasheet.ciiva.com/11172/infineon-bsz060ne2ls-ds-v02-02-en-11172175.pdf?src-supplier=Avnet	
Ulazni buck mosfet		Q?	4	TPN2R903PL,L1Q		
3v3 na 3v3 R	RES, THIN FILM, 39K, 0.1%, 0.1W, 0603; Product Range:AEC-Q200 ERA Series; Resistance:39kohm; Power Rating:100mW; Resistance Tolerance: 0.1%; Voltage Rating:75V; Resistor Case Style:0603 [1608 Metric]; Packaging:Each; MSL:- ;RoHS Compliant: Yes	R?	3	ERA3AEB393V	https://datasheet.ciiva.com/11808/0900766b80fe20f7-11808045.pdf?src-supplier=RSComponents	
